,,route10,route10,route10,cover,cover,cover,sys1,sys1,sys1,sys3,sys3,sys3,sys5,sys5,sys5,sys10,sys10,sys10,mrr,mrr,mrr,ndcg10,ndcg10,ndcg10,temp_mae,temp_mae,temp_mae,temp_within_5c,temp_within_5c,temp_within_5c,temp_within_10c,temp_within_10c,temp_within_10c,temp_within_20c,temp_within_20c,temp_within_20c,temp_n,temp_n,temp_n
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
family,model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chan_LamCoupling,Without_ReaFNN,0.6999999999999998,0.0,3,0.6333333333333333,0.0,3,0.32393162393162395,0.019916547346548786,3,0.41111111111111115,0.01668309512473772,3,0.4461538461538462,0.009245003270420476,3,0.49914529914529915,0.01036269713930098,3,0.38575944215920804,0.0173534992374649,3,0.39473328204772645,0.016867400916057776,3,,,0,,,0,,,0,,,0,0.0,0.0,3
DielsAlder,ProSys,0.33727034120734906,0.0,3,0.3092738407699038,0.0007576775186215761,3,0.11854768153980753,0.01294719911369094,3,0.18591426071741032,0.009936847499213072,3,0.2077865266841645,0.00984980774208024,3,0.24278215223097113,0.011212603340311728,3,0.16085120482217727,0.010981566733674711,3,0.173287371344816,0.011292374215427255,3,16.70305615173042,0.4586578478236401,3,0.28051001821493626,0.008347132413398605,3,0.4553734061930783,0.011375224040798554,3,0.7176684881602915,0.02208443652637914,3,183.0,0.0,3
DielsAlder,Without_LTR,0.33727034120734906,0.0,3,0.3092738407699038,0.0007576775186215761,3,0.09536307961504813,0.011161286808550372,3,0.13035870516185477,0.004608772420320532,3,0.1377952755905512,0.0,3,0.15179352580927385,0.002004626288257134,3,0.11880257781981311,0.007073176489848581,3,0.12191823844489831,0.005888391185363306,3,,,0,,,0,,,0,,,0,0.0,0.0,3
DielsAlder,Without_RGNN_temperature,0.33727034120734906,0.0,3,0.3092738407699038,0.0007576775186215761,3,0.11854768153980753,0.01294719911369094,3,0.18591426071741032,0.009936847499213072,3,0.2077865266841645,0.00984980774208024,3,0.24278215223097113,0.011212603340311728,3,0.16085120482217727,0.010981566733674711,3,0.173287371344816,0.011292374215427255,3,22.81208453803279,0.5914481035776346,3,0.15664845173041894,0.030096013919596182,3,0.3224043715846994,0.01892951702261067,3,0.5664845173041894,0.02464070903181908,3,183.0,0.0,3
DielsAlder,B1_ProductNB,0.33727034120734906,,1,0.18635170603674542,,1,0.04068241469816273,,1,0.07217847769028872,,1,0.08661417322834647,,1,0.11286089238845146,,1,0.06411693947151802,,1,0.07251129803971022,,1,,,0,,,0,,,0,,,0,0.0,,1
DielsAlder,B2_ProductGNN,0.33727034120734906,0.0,3,0.24759405074365703,0.007689586977798299,3,0.03412073490813648,0.005249343832020996,3,0.08398950131233596,0.005720339820919521,3,0.10498687664041995,0.005720339820919519,3,0.1342957130358705,0.004968423749606546,3,0.0693725453508331,0.0043317756380103125,3,0.07966099178250481,0.004664530929164448,3,,,0,,,0,,,0,,,0,0.0,0.0,3
DielsAlder,B3_SequentialFNN,0.33727034120734906,0.0,3,0.28127734033245844,0.0062018577772344,3,0.09448818897637797,0.0034721145814495986,3,0.1347331583552056,0.005917650594255763,3,0.15398075240594924,0.004009252576514289,3,0.17935258092738407,0.005917650594255756,3,0.12396727687045588,0.0005496906086919397,3,0.13290544854899417,0.0015749377814848256,3,17.842106507805365,0.04988627660029378,3,0.3724702915655602,0.043360040295688004,3,0.5508233541991415,0.023178658179219828,3,0.70724568940313,0.023557199115982447,3,166.33333333333334,3.055050463303897,3
DielsAlder,B4_ReactionGCNN,0.33727034120734906,0.0,3,0.24671916010498687,0.0057203398209195065,3,0.03193350831146107,0.0027318451436563417,3,0.062117235345581806,0.006201857777234394,3,0.07830271216097988,0.009673378997154848,3,0.10673665791776028,0.00647359955684547,3,0.05613917993847334,0.003576172397042635,3,0.0635270006798991,0.004497841923308259,3,,,0,,,0,,,0,,,0,0.0,0.0,3
DielsAlder,Without_KNN,0.33727034120734906,0.0,3,0.21084864391951005,0.007462258140521424,3,0.09055118110236221,0.01490527124881962,3,0.1496062992125984,0.012027757729542893,3,0.1714785651793526,0.00421856988669859,3,0.19203849518810148,0.004218569886698578,3,0.12537234424486352,0.011891643646937325,3,0.1395243182614506,0.010174958618111199,3,,,0,,,0,,,0,,,0,0.0,0.0,3
DielsAlder,Without_ReaFNN,0.33727034120734906,0.0,3,0.30971128608923887,0.0,3,0.1010498687664042,0.0034721145814495926,3,0.17497812773403323,0.005917650594255777,3,0.19641294838145232,0.0042185698866985775,3,0.220909886264217,0.009673378997154836,3,0.14469526354820364,0.00469788328200793,3,0.1542615370326392,0.006624310904215664,3,,,0,,,0,,,0,,,0,0.0,0.0,3
