2-methyltetrahydrofuran	CC1CCCO1
2-phenyl-1,3,2-dioxaborinane	c1ccc(B2OCCCO2)cc1
2-phenyl-2-(4-phenyl-1h-1,2,3-triazol-1-yl)ethan-1-ol	OCC(c1ccccc1)n1cc(-c2ccccc2)nn1
2-picolinic acid	O=C(O)c1ccccn1
3 a molecular sieve	O=[Si]([O-])[O-].O=[Si]([O-])[O-].[Al+3].[Na+]
3 wtpercent graphite oxide	Graphene oxide (GO)
3,5-bis(trifluoromethyl)phenylammonium hexafluorophosphate	F[P-](F)(F)(F)(F)F.[NH3+]c1cc(C(F)(F)F)cc(C(F)(F)F)c1
3,5-di-tert-butylbenzoic acid	CC(C)(C)c1cc(C(=O)O)cc(C(C)(C)C)c1
3-((1r,2r)-2-(piperidin-1-yl)cyclohexylamino)-4-(4-(trifluoromethyl)phenylamino)cyclobut-3-ene-1,2-dione	O=c1c(Nc2ccc(C(F)(F)F)cc2)c(N[C@@H]2CCCC[C@H]2N2CCCCC2)c1=O
3-((3,5-bis(trifluoromethyl)phenyl)amino)-4-(((s)-(6-methoxyquinoline-4-yl))((1s,2s,4s,5r-5-vinylquinuclidine-2-yl)methyl)amino)cyclobutan-3-ene-1,2-dione	C=CC1CN2CCC1C[C@@H]2[C@@H](Nc1c(Nc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c(=O)c1=O)c1ccnc2ccc(OC)cc12
3-(3,5-bis-trifluoromethyl-phenylamino)-4-{[(s)-(6-methoxy-quinolin-4-yl)-((r)-5-vinyl-1-aza-bicyclo[2.2.2]oct-2-yl)-methyl]-amino}-cyclobut-3-ene-1,2-dione	C=CC1CN2CCC1C[C@@H]2[C@@H](Nc1c(Nc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c(=O)c1=O)c1ccnc2ccc(OC)cc12
3-(diphenylphosphino)propionic acid	O=C(O)CCP(c1ccccc1)c1ccccc1
3-acetylcoumarin	CC(=O)c1cc2ccccc2oc1=O
3-chloro-benzenecarboperoxoic acid	O=C(OO)c1cccc(Cl)c1
3-diphenylphosphino-2-(diphenylphosphino)methyl-2-methylpropyl acetate	CC(=O)OCC(C)(CP(c1ccccc1)c1ccccc1)CP(c1ccccc1)c1ccccc1
3-mercaptopropionic acid	O=C(O)CCS
