family,seed,arm,n_queries,cover,sys1,sys3,sys5,sys10,mrr,ndcg10,temp_n,temp_mae,temp_within_5c,temp_within_10c,temp_within_20c
Buchwald-HartwigCross-Coupling,0,no_rgnn_temperature,1099,0.5168334849863512,0.3111919927206551,0.39854413102820746,0.4249317561419472,0.45586897179253866,0.3628851104839667,0.3760149374774288,484,13.187621167355372,0.3305785123966942,0.5351239669421488,0.8057851239669421
Buchwald-HartwigCross-Coupling,1,full,1099,0.5186533212010919,0.31028207461328483,0.4030937215650591,0.43039126478616924,0.4549590536851683,0.364345011669583,0.37608158055145585,486,11.966208358024693,0.3662551440329218,0.5534979423868313,0.8271604938271605
Buchwald-HartwigCross-Coupling,1,no_ltr,1099,0.5186533212010919,0.24749772520473157,0.3111919927206551,0.32666060054595086,0.3357597816196542,0.28740508149254484,0.2929730791649351,0,,,,
Buchwald-HartwigCross-Coupling,1,no_rgnn_temperature,1099,0.5186533212010919,0.31028207461328483,0.4030937215650591,0.43039126478616924,0.4549590536851683,0.364345011669583,0.37608158055145585,486,12.296636086419754,0.35802469135802467,0.5720164609053497,0.8251028806584362
Buchwald-HartwigCross-Coupling,2,full,1099,0.5241128298453139,0.30937215650591443,0.40582347588717016,0.4258416742493175,0.46496815286624205,0.3655958348873867,0.3793474817720328,492,11.562660477642275,0.3516260162601626,0.5670731707317073,0.8252032520325203
Buchwald-HartwigCross-Coupling,2,no_ltr,1099,0.5241128298453139,0.24840764331210188,0.3039126478616924,0.3257506824385805,0.3412192902638762,0.28578167696123774,0.293819590377038,0,,,,
Buchwald-HartwigCross-Coupling,2,no_rgnn_temperature,1099,0.5241128298453139,0.30937215650591443,0.40582347588717016,0.4258416742493175,0.46496815286624205,0.3655958348873867,0.3793474817720328,492,11.777623276422764,0.3719512195121951,0.5711382113821138,0.8211382113821138
Chan_LamCoupling,0,full,390,0.6512820512820513,0.2512820512820513,0.4025641025641026,0.4641025641025641,0.5435897435897435,0.3457700929951523,0.37911923249303847,238,6.126568015966387,0.6302521008403361,0.8529411764705882,0.9411764705882353
Chan_LamCoupling,0,no_ltr,390,0.6512820512820513,0.36923076923076925,0.4641025641025641,0.48205128205128206,0.5076923076923077,0.42246853836975073,0.43457996902273405,0,,,,
Chan_LamCoupling,0,no_rgnn_temperature,390,0.6512820512820513,0.2512820512820513,0.4025641025641026,0.4641025641025641,0.5435897435897435,0.3457700929951523,0.37911923249303847,238,6.950175574789917,0.6050420168067226,0.7899159663865546,0.9327731092436975
Chan_LamCoupling,1,full,390,0.6512820512820513,0.2717948717948718,0.4256410256410256,0.4717948717948718,0.5307692307692308,0.36201707299951313,0.38946334527724275,239,5.7851175903765695,0.6694560669456067,0.8577405857740585,0.9539748953974896
